"","population","number.of.drugs","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"ABIRATERONE",1,5,"ABIRATERONE","BRIVANIB","ERISMODEGIB","EX527","TAMOXIFEN",NA,NA,NA,NA,NA
"ABT737",2,2,"ABT737","NAVITOCLAX",NA,NA,NA,NA,NA,NA,NA,NA
"AFATINIB",3,10,"AFATINIB","CANERTINIB","CYANOQUINOLINE11","ERLOTINIB","FORETINIB","GEFITINIB","IBRUTINIB","LAPATINIB","NERATINIB","WZ4002"
"ALVOCIDIB",4,7,"ALVOCIDIB","BMS345541","DOXORUBICIN","HLI373","PHA793887","STAUROSPORINE","TRIPTOLIDE",NA,NA,NA
"AZD6482",5,3,"AZD6482","GSK1059615","TGX221",NA,NA,NA,NA,NA,NA,NA
"BAXCHANNELBLOCKER",6,4,"BAXCHANNELBLOCKER","CAY10594","GW405833","OBATOCLAX",NA,NA,NA,NA,NA,NA
"BETULINICACID",7,3,"BETULINICACID","HYPERFORIN","MYRIOCIN",NA,NA,NA,NA,NA,NA,NA
"BIX01294",8,4,"BIX01294","GANT61","NSC23766","UNC0321",NA,NA,NA,NA,NA,NA
"BMS754807",9,4,"AZD1480","BMS536924","BMS754807","LINSITINIB",NA,NA,NA,NA,NA,NA
"BRDK01737880",10,3,"BARASERTIB","BRDK01737880","OSI930",NA,NA,NA,NA,NA,NA,NA
"BRDK33514849",11,5,"BRDK13999467","BRDK14844214","BRDK33514849","BRDK63431240","SILDENAFIL",NA,NA,NA,NA,NA
"BRDK71935468",12,2,"BRDK71935468","BRDK94991378",NA,NA,NA,NA,NA,NA,NA,NA
"BRDK86535717",13,10,"BRDK02492147","BRDK27224038","BRDK27986637","BRDK49290616","BRDK50799972","BRDK86535717","BRDK96431673","ETOMOXIR","FGIN127","SJ172550"
"CD1530",14,6,"AC55649","AM580","CD1530","CD437","GOSSYPOL","LE135",NA,NA,NA,NA
"CERULENIN",15,6,"CERULENIN","CUCURBITACINI","ISOLIQUIRITIGENIN","PIFITHRINMU","RITA","TRETINOIN",NA,NA,NA,NA
"CHIR99021",16,4,"CCT036477","CHIR99021","GSK3INHIBITORIX","SB525334",NA,NA,NA,NA,NA,NA
"COL3",17,6,"AZD7545","COL3","FULVESTRANT","PHLORETIN","TIGECYCLINE","TOSEDOSTAT",NA,NA,NA,NA
"CRIZOTINIB",18,4,"AT7867","CRIZOTINIB","NVPTAE684","RUXOLITINIB",NA,NA,NA,NA,NA,NA
