"MOLECULE_NAME","TARGET_NAME"
"GSK525762A","CREBBP"
"GSK525762A","ATAD2"
"GSK525762A","BRD3"
"GSK525762A","CYP2C19"
"GSK525762A","BRD2"
"GSK525762A","CYP2C9"
"GSK525762A","CYP2D6"
"GSK525762A","CYP3A4"
"GSK525762A","CYP1A2"
"GSK525762A","BRD4"
"ERLOTINIB","MAP3K4"
"ERLOTINIB","CSNK1G3"
"ERLOTINIB","SLCO1B1"
"ERLOTINIB","STK24"
"ERLOTINIB","IRAK3"
"ERLOTINIB","CDC42BPB"
"ERLOTINIB","MAP4K5"
"ERLOTINIB","DYRK1B"
"ERLOTINIB","MAP3K2"
"ERLOTINIB","SIK3"
"ERLOTINIB","MAST1"
"ERLOTINIB","STK38L"
"ERLOTINIB","AKT3"
"ERLOTINIB","CAMK2A"
"ERLOTINIB","AURKC"
"ERLOTINIB","CDK11A"
"ERLOTINIB","ICK"
"ERLOTINIB","SRPK3"
"ERLOTINIB","ABCG2"
"ERLOTINIB","ALK"
"ERLOTINIB","TAOK2"
"ERLOTINIB","TLK1"
"ERLOTINIB","TNIK"
"ERLOTINIB","RPS6KA6"
"ERLOTINIB","DAPK2"
"ERLOTINIB","TBK1"
"ERLOTINIB","EPHA6"
"ERLOTINIB","STK39"
"ERLOTINIB","STK17A"
"ERLOTINIB","HDAC6"
"ERLOTINIB","PI4KB"
"ERLOTINIB","NLK"
"ERLOTINIB","EIF2AK4"
"ERLOTINIB","STK26"
"ERLOTINIB","PAK7"
"ERLOTINIB","PIM2"
"ERLOTINIB","MARK1"
"ERLOTINIB","PLK2"
"ERLOTINIB","ZAK"
"ERLOTINIB","STK32B"
"ERLOTINIB","IRAK4"
"ERLOTINIB","BMP2K"
"ERLOTINIB","STK36"
"ERLOTINIB","LATS2"
"ERLOTINIB","SNRK"
"ERLOTINIB","DYRK4"
"ERLOTINIB","PAK6"
"ERLOTINIB","SLCO1B3"
"ERLOTINIB","CSNK1G1"
"ERLOTINIB","NEK6"
"ERLOTINIB","SGK2"
"ERLOTINIB","MKNK2"
"ERLOTINIB","CLK4"
"ERLOTINIB","PLK3"
"ERLOTINIB","HIPK3"
"ERLOTINIB","SRMS"
"ERLOTINIB","HIPK2"
"ERLOTINIB","TAOK3"
"ERLOTINIB","SLK"
"ERLOTINIB","MYLK2"
"ERLOTINIB","SIK2"
"ERLOTINIB","NUAK2"
"ERLOTINIB","DCLK3"
"ERLOTINIB","PRKD2"
"ERLOTINIB","STK33"
"ERLOTINIB","HDAC1"
"ERLOTINIB"," HDAC10"
"ERLOTINIB"," HDAC11"
"ERLOTINIB"," HDAC2"
"ERLOTINIB"," HDAC3"
"ERLOTINIB"," HDAC4"
"ERLOTINIB"," HDAC5"
"ERLOTINIB"," HDAC6"
"ERLOTINIB"," HDAC7"
"ERLOTINIB"," HDAC8"
"ERLOTINIB"," HDAC9"
"ERLOTINIB","HDAC8"
"ERLOTINIB","TSSK1B"
"ERLOTINIB","TRPM6"
"ERLOTINIB","CDK19"
"ERLOTINIB","RIOK2"
"ERLOTINIB","MKNK1"
"ERLOTINIB","RIOK1"
"ERLOTINIB","EIF2AK1"
"ERLOTINIB","VRK1"
"ERLOTINIB","MAP3K3"
"ERLOTINIB","PIP5K1A"
"ERLOTINIB","MAP3K5"
"ERLOTINIB","PKMYT1"
"ERLOTINIB","SRPK1"
"ERLOTINIB","CAMKK2"
"ERLOTINIB","PASK"
"ERLOTINIB","CDK15"
"ERLOTINIB","NEK1"
"ERLOTINIB","TSSK2"
"ERLOTINIB","CAMK1G"
"ERLOTINIB","MARK4"
"ERLOTINIB","EHMT2"
"ERLOTINIB","PBK"
"ERLOTINIB","AURKB"
"ERLOTINIB","ADCK4"
"ERLOTINIB","SGK3"
"ERLOTINIB","MAP4K1"
"ERLOTINIB","ABCC2"
"ERLOTINIB","CDKL2"
"ERLOTINIB","DYRK2"
"ERLOTINIB","MYO3B"
"ERLOTINIB","STK32A"
"ERLOTINIB","GRK7"
"ERLOTINIB","NEK7"
"ERLOTINIB","STK35"
"ERLOTINIB","BRSK1"
"ERLOTINIB","NEK9"
"ERLOTINIB","MAPK15"
"ERLOTINIB","PIP4K2C"
"ERLOTINIB","ADCK3"
"ERLOTINIB","NEK11"
"ERLOTINIB","ANKK1"
"ERLOTINIB","MYO3A"
"ERLOTINIB","HIPK4"
"ERLOTINIB","CSNK1A1L"
"ERLOTINIB","CAMKK1"
"ERLOTINIB","DCLK2"
"ERLOTINIB","MINK1"
"ERLOTINIB","ULK2"
"ERLOTINIB","NIM1K"
"ERLOTINIB","BRSK2"
"ERLOTINIB","MAPKAPK5"
"ERLOTINIB","CDKL3"
"ERLOTINIB","MAP4K3"
"ERLOTINIB","VRK3"
"ERLOTINIB","CAMK1D"
"ERLOTINIB","HIPK1"
"ERLOTINIB","MYLK4"
"ERLOTINIB","VRK2"
"ERLOTINIB","PIM3"
"ERLOTINIB","STK32C"
"ERLOTINIB","TLK2"
"ERLOTINIB","TAOK1"
"ERLOTINIB","MARK2"
"ERLOTINIB","MAP3K15"
"ERLOTINIB","DSTYK"
"ERLOTINIB","ULK3"
"ERLOTINIB","NEK5"
"ERLOTINIB","CDC42BPG"
"ERLOTINIB","CDC42BPA"
"ERLOTINIB","LRRK2"
"ERLOTINIB","TNNI3K"
"ERLOTINIB","MAP3K19"
"ERLOTINIB","SBK1"
"ERLOTINIB","MYLK3"
"ERLOTINIB","AAK1"
"ERLOTINIB","DDR2"
"ERLOTINIB","PHKG1"
"ERLOTINIB","MAPK6"
"ERLOTINIB","MAPKAPK3"
"ERLOTINIB","NTRK2"
"ERLOTINIB","MAP3K11"
"ERLOTINIB","CAMK4"
"ERLOTINIB","MAPK14"
"ERLOTINIB","PKN2"
"ERLOTINIB","PKN1"
"ERLOTINIB","NTRK3"
"ERLOTINIB","NFE2L2"
"ERLOTINIB","GRK1"
"ERLOTINIB","STK11"
"ERLOTINIB","MAPK11"
"ERLOTINIB","MYLK"
"ERLOTINIB","TESK1"
"ERLOTINIB","RPS6KA1"
"ERLOTINIB","EPHA7"
"ERLOTINIB","RPS6KA2"
"ERLOTINIB","ERBB4"
"ERLOTINIB","STK38"
"ERLOTINIB","PRKD1"
"ERLOTINIB","MELK"
"ERLOTINIB","PTK2B"
"ERLOTINIB","IKBKE"
"ERLOTINIB","CAMK1"
"ERLOTINIB","CDK13"
"ERLOTINIB","PRKG1"
"ERLOTINIB","PTK6"
"ERLOTINIB","BMPR2"
"ERLOTINIB","ACVR2B"
"ERLOTINIB","DYRK1A"
"ERLOTINIB","CAMK2D"
"ERLOTINIB","CAMK2G"
"ERLOTINIB","CAMK2B"
"ERLOTINIB","HDAC1"
"ERLOTINIB","RIPK1"
"ERLOTINIB","PRPF4B"
"ERLOTINIB","TNK1"
"ERLOTINIB","ROCK1"
"ERLOTINIB","PRKG2"
"ERLOTINIB","MAP3K1"
"ERLOTINIB","STK3"
"ERLOTINIB","PAK2"
"ERLOTINIB","MAPK7"
"ERLOTINIB","MAP2K5"
"ERLOTINIB","PAK1"
"ERLOTINIB","PRKAA1"
"ERLOTINIB","STK4"
"ERLOTINIB","MERTK"
"ERLOTINIB","MAP3K12"
"ERLOTINIB","MAP4K2"
"ERLOTINIB","DMPK"
"ERLOTINIB","ITK"
"ERLOTINIB","DDR1"
"ERLOTINIB","TNK2"
"ERLOTINIB","CDK18"
"ERLOTINIB","TYRO3"
"ERLOTINIB","BTK"
"ERLOTINIB","PRKCD"
"ERLOTINIB","PRKCZ"
"ERLOTINIB","PTK2"
"ERLOTINIB","MST1R"
"ERLOTINIB","ACVR1"
"ERLOTINIB","PRKCQ"
"ERLOTINIB","MAP3K10"
"ERLOTINIB","TEK"
"ERLOTINIB","MAP2K1"
"ERLOTINIB","PRKCE"
"ERLOTINIB","MYT1"
"ERLOTINIB","CDK17"
"ERLOTINIB","CDK16"
"ERLOTINIB","CDK5"
"ERLOTINIB","CDK6"
"ERLOTINIB","CDKL1"
"ERLOTINIB","CDK3"
"ERLOTINIB","MAP3K9"
"ERLOTINIB","CSNK1G2"
"ERLOTINIB","SRPK2"
"ERLOTINIB","PIP4K2B"
"ERLOTINIB","CSNK2A1"
"ERLOTINIB","RIPK4"
"ERLOTINIB","SIK1"
"ERLOTINIB","HUNK"
"ERLOTINIB","EPHA4"
"ERLOTINIB","EPHB1"
"ERLOTINIB","EPHB4"
"ERLOTINIB","EPHA5"
"ERLOTINIB","EPHB3"
"ERLOTINIB","PRKAA2"
"ERLOTINIB","MAPK10"
"ERLOTINIB","MAPK12"
"ERLOTINIB","LIMK2"
"ERLOTINIB","LIMK1"
"ERLOTINIB","DAPK1"
"ERLOTINIB","PLK1"
"ERLOTINIB","MAP2K6"
"ERLOTINIB","JAK3"
"ERLOTINIB","NEK4"
"ERLOTINIB","NEK3"
"ERLOTINIB","NEK2"
"ERLOTINIB","PRKX"
"ERLOTINIB","BMX"
"ERLOTINIB","RPS6KA3"
"ERLOTINIB","IRAK1"
"ERLOTINIB","BLK"
"ERLOTINIB","CDK9"
"ERLOTINIB","CDK7"
"ERLOTINIB","GSK3B"
"ERLOTINIB","GSK3A"
"ERLOTINIB","CLK3"
"ERLOTINIB","CLK2"
"ERLOTINIB","CLK1"
"ERLOTINIB","CSNK1E"
"ERLOTINIB","CDK8"
"ERLOTINIB","MAPKAPK2"
"ERLOTINIB","PIK3CG"
"ERLOTINIB","CSNK1D"
"ERLOTINIB","CSNK1A1"
"ERLOTINIB","MAP2K3"
"ERLOTINIB","MAP2K4"
"ERLOTINIB","MAPK9"
"ERLOTINIB","MAPK8"
"ERLOTINIB","SYK"
"ERLOTINIB","ZAP70"
"ERLOTINIB","FRK"
"ERLOTINIB","ABL2"
"ERLOTINIB","TXK"
"ERLOTINIB","TEC"
"ERLOTINIB","MATK"
"ERLOTINIB","MTOR"
"ERLOTINIB","PIK3CB"
"ERLOTINIB","PIK3CA"
"ERLOTINIB","PRKCI"
"ERLOTINIB","CSK"
"ERLOTINIB","TGFBR2"
"ERLOTINIB","ACVRL1"
"ERLOTINIB","TGFBR1"
"ERLOTINIB","ACVR1B"
"ERLOTINIB","BMPR1A"
"ERLOTINIB","FLT3"
"ERLOTINIB","MAP2K2"
"ERLOTINIB","KDR"
"ERLOTINIB","FLT4"
"ERLOTINIB","TIE1"
"ERLOTINIB","GRK5"
"ERLOTINIB","TTK"
"ERLOTINIB","GRK4"
"ERLOTINIB","AKT2"
"ERLOTINIB","AKT1"
"ERLOTINIB","MAPK4"
"ERLOTINIB","AXL"
"ERLOTINIB","WEE1"
"ERLOTINIB","TYK2"
"ERLOTINIB","LTK"
"ERLOTINIB","EPHB2"
"ERLOTINIB","EPHA8"
"ERLOTINIB","EPHA3"
"ERLOTINIB","EPHA2"
"ERLOTINIB","MAPK1"
"ERLOTINIB","MARK3"
"ERLOTINIB","MAPK3"
"ERLOTINIB","ACVR2A"
"ERLOTINIB","CDK2"
"ERLOTINIB","PRKCH"
"ERLOTINIB","JAK1"
"ERLOTINIB","RPS6KB1"
"ERLOTINIB","PRKACB"
"ERLOTINIB","FGFR3"
"ERLOTINIB","FGFR4"
"ERLOTINIB","ERBB3"
