"MOLECULE_NAME","TARGET_NAME"
"CETUXIMAB","EGFR"
"CETUXIMAB","FCGR3B"
"CETUXIMAB","C1R"
"CETUXIMAB","C1QA"
"CETUXIMAB","C1QB"
"CETUXIMAB","C1QC"
"CETUXIMAB","FCGR3A"
"CETUXIMAB","C1S"
"CETUXIMAB","FCGR1A"
"CETUXIMAB","FCGR2A"
"CETUXIMAB","FCGR2B"
"CETUXIMAB","FCGR2C"
"BORTEZOMIB","PSMD2"
"BORTEZOMIB","PSMB1"
"BORTEZOMIB","PSMB5"
"BORTEZOMIB","PSMB2"
"BORTEZOMIB","PSMD1"
"BORTEZOMIB","PSMA1"
"BORTEZOMIB","PSMA2"
"BORTEZOMIB","PSMA3"
"BORTEZOMIB","PSMA4"
"BORTEZOMIB","PSMA5"
"BORTEZOMIB","PSMA6"
"BORTEZOMIB","PSMA7"
"BORTEZOMIB","PSMB3"
"BORTEZOMIB","PSMB4"
"BORTEZOMIB","PSMB6"
"BORTEZOMIB","PSMB7"
"SILDENAFIL","PDE5A"
"SILDENAFIL","PDE6G"
"SILDENAFIL","PDE6H"
"PYRIMETHAMINE","DHFR"
"LOVASTATIN","HMGCR"
"LOVASTATIN","ITGAL"
"LOVASTATIN","HDAC2"
"BEXAROTENE","RXRA"
"BEXAROTENE","RXRB"
"BEXAROTENE","RXRG"
"GEFITINIB","EGFR"
"VINORELBINE","TUBB"
"SORAFENIB","BRAF"
"SORAFENIB","RAF1"
"SORAFENIB","FLT4"
"SORAFENIB","KDR"
"SORAFENIB","FLT3"
"SORAFENIB","PDGFRB"
"SORAFENIB","KIT"
"SORAFENIB","FGFR1"
"SORAFENIB","RET"
"SORAFENIB","FLT1"
"PROCHLORPERAZINE","DRD2"
"GEMCITABINE","RRM1"
"GEMCITABINE","TYMS"
"GEMCITABINE","CMPK1"
"TENIPOSIDE","TOP2A"
"LENALIDOMIDE","CRBN"
"LENALIDOMIDE","TNFSF11"
"LENALIDOMIDE","CDH5"
"LENALIDOMIDE","PTGS2"
"CIMETIDINE","HRH2"
"ALITRETINOIN","RARA"
"ALITRETINOIN","RXRA"
"ALITRETINOIN","RARB"
"ALITRETINOIN","RXRB"
"ALITRETINOIN","RARG"
"ALITRETINOIN","RXRG"
"ERLOTINIB","EGFR"
"ERLOTINIB","NR1I2"
"VINCRISTINE","TUBB"
"VINCRISTINE","TUBA4A"
"FLUOROURACIL","TYMS"
"METHOTREXATE","DHFR"
"VINBLASTINE","TUBA1A"
"VINBLASTINE","TUBB"
