"","population","number.of.drugs","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,4,"ARTEMETHER","ARTESUNATE","CLOTRIMAZOLE","NELFINAVIR",NA,NA,NA,NA,NA,NA
"2",2,3,"AZACITIDINE","DECITABINE","OBATOCLAX",NA,NA,NA,NA,NA,NA,NA
"3",3,6,"CLADRIBINE","CLOFARABINE","FLUDARABINE","KINETINRIBOSIDE","PUROMYCIN","TRICIRIBINE",NA,NA,NA,NA
"4",4,4,"CADMIUMCHLORIDE","CYCLOPHOSPHAMIDE","FLUCONAZOLE","IFOSFAMIDE",NA,NA,NA,NA,NA,NA
"5",5,10,"ACTINOMYCIND","ALVOCIDIB","CHROMOMYCINA3","DAUNORUBICIN","DOXORUBICIN","EPIRUBICIN","ETOPOSIDE","IDARUBICIN","MITOXANTRONE","TENIPOSIDE"
"6",6,4,"BACCATINIII","DOCETAXEL","GEDUNIN","PACLITAXEL",NA,NA,NA,NA,NA,NA
"7",7,6,"FLOXURIDINE","GEMCITABINE","IDOXURIDINE","RALTITREXED","TEGAFUR","TUNICAMYCIN",NA,NA,NA,NA
"8",8,10,"CYCLOPIAZONICACID","DEXAMETHASONE","FLUMETHASONE","FLUOCINOLONE","FLUOROMETHOLONE","FLUPHENAZINE","ISOFLUPREDONE","METHYLPREDNISOLONE","NICOTINAMIDE","TRIAMCINOLONE"
"9",9,9,"AFATINIB","DASATINIB","ERLOTINIB","FOSTAMATINIB","GEFITINIB","LAPATINIB","PAZOPANIB","PYRAZOLANTHRONE","TYRPHOSTINAG1478",NA
"10",10,3,"IMATINIB","NILOTINIB","OLAPARIB",NA,NA,NA,NA,NA,NA,NA
"11",11,4,"IMIQUIMOD","ISOTRETINOIN","MIFEPRISTONE","PROGESTERONE",NA,NA,NA,NA,NA,NA
"12",12,3,"CLOFAZIMINE","LORATADINE","RITONAVIR",NA,NA,NA,NA,NA,NA,NA
"13",13,2,"LOVASTATIN","SIMVASTATIN",NA,NA,NA,NA,NA,NA,NA,NA
"14",14,5,"CHLORAMBUCIL","CISPLATIN","MELPHALAN","THIOTEPA","TRYPTOPHAN",NA,NA,NA,NA,NA
"15",15,4,"FLUOROURACIL","METHOTREXATE","PEMETREXED","PYRIMETHAMINE",NA,NA,NA,NA,NA,NA
"16",16,5,"ALLANTOIN","HALOPERIDOL","LASALOCID","PIMOZIDE","SPIPERONE",NA,NA,NA,NA,NA
"17",17,4,"CYTOCHALASINB","EVEROLIMUS","TEMSIROLIMUS","WORTMANNIN",NA,NA,NA,NA,NA,NA
"18",18,3,"CRIZOTINIB","ITRACONAZOLE","TERCONAZOLE",NA,NA,NA,NA,NA,NA,NA
"19",19,6,"GOSSYPOL","HEXACHLOROPHENE","MALONOBEN","NICLOSAMIDE","PENTAMIDINE","TYRPHOSTINA9",NA,NA,NA,NA
"20",20,5,"COLCHICINE","ROTENONE","VINBLASTINE","VINCRISTINE","VINORELBINE",NA,NA,NA,NA,NA
"21",21,4,"BELINOSTAT","ENTINOSTAT","PYROXAMIDE","VORINOSTAT",NA,NA,NA,NA,NA,NA
