,population,number.of.drugs,V1,V2,V3,V4,V5,V6,V7,V8,V9
1,1,5,ABIRATERONE,BRIVANIB,ERISMODEGIB,EX527,TAMOXIFEN,NA,NA,NA,NA
22,22,3,ABT737,NAVITOCLAX,NUTLIN3,NA,NA,NA,NA,NA,NA
9,9,5,AC55649,AM580,CD1530,CD437,SALERMIDE,NA,NA,NA,NA
2,2,9,AFATINIB,CANERTINIB,CYANOQUINOLINE11,ERLOTINIB,GEFITINIB,IBRUTINIB,LAPATINIB,NERATINIB,WZ4002
34,34,3,AGK2,OLAPARIB,THALIDOMIDE,NA,NA,NA,NA,NA,NA
8,8,4,ALISERTIB,BARASERTIB,BRDK01737880,BRDK55116708,NA,NA,NA,NA,NA
3,3,9,ALVOCIDIB,BMS345541,DOXORUBICIN,HLI373,MYRICETIN,NARCICLASINE,PHA793887,STAUROSPORINE,TRIPTOLIDE
18,18,3,APICIDIN,BELINOSTAT,ISOX,NA,NA,NA,NA,NA,NA
11,11,4,AT7867,CRIZOTINIB,NVPTAE684,RUXOLITINIB,NA,NA,NA,NA,NA
32,32,5,AVICIND,CYTOCHALASINB,SIROLIMUS,TACROLIMUS,TEMSIROLIMUS,NA,NA,NA,NA
16,16,5,AXITINIB,CHIR99021,IMATINIB,MASITINIB,NILOTINIB,NA,NA,NA,NA
13,13,4,AZACITIDINE,DECITABINE,QS11,ZEBULARINE,NA,NA,NA,NA,NA
6,6,4,AZD1480,BMS536924,BMS754807,LINSITINIB,NA,NA,NA,NA,NA
4,4,3,AZD6482,GSK1059615,TGX221,NA,NA,NA,NA,NA,NA
20,20,3,AZD7762,KU55933,KU60019,NA,NA,NA,NA,NA,NA
19,19,8,AZD8055,GDC0941,KU0063794,MK2206,NVPBEZ235,OSI027,PI103,ZSTK474,NA
38,38,6,BAXCHANNELBLOCKER,CAY10594,PF543,PROCHLORPERAZINE,SERDEMETAN,TRIFLUOPERAZINE,NA,NA,NA
33,33,3,BI2536,KU0060648,TG101348,NA,NA,NA,NA,NA,NA
30,30,5,BIBR1532,CI976,ERASTIN,OSI930,SORAFENIB,NA,NA,NA,NA
5,5,4,BIX01294,BOSUTINIB,NSC23766,UNC0321,NA,NA,NA,NA,NA
28,28,6,BLEBBISTATIN,FGIN127,SGX523,SITAGLIPTIN,SJ172550,TG100115,NA,NA,NA
7,7,3,BORTEZOMIB,MG132,MLN2238,NA,NA,NA,NA,NA,NA
17,17,2,BRDK88742110,ISONICOTINOHYDROXAMICACID,NA,NA,NA,NA,NA,NA,NA
14,14,3,CAY10618,GMX1778,TIPIFARNIBP2,NA,NA,NA,NA,NA,NA
36,36,8,CEDIRANIB,FORETINIB,KI8751,LINIFANIB,MGCD265,PAZOPANIB,QUIZARTINIB,TIVOZANIB,NA
29,29,8,CHLORAMBUCIL,CLOFARABINE,ETOPOSIDE,GEMCITABINE,OBATOCLAX,SN38,TENIPOSIDE,TOPOTECAN,NA
39,39,5,CICLOPIROX,MST312,NICLOSAMIDE,PAC1,TW37,NA,NA,NA,NA
10,10,7,COL3,FULVESTRANT,GOSSYPOL,LE135,PHLORETIN,TIGECYCLINE,TOSEDOSTAT,NA,NA
12,12,3,DABRAFENIB,GDC0879,PLX4720,NA,NA,NA,NA,NA,NA
24,24,6,DARINAPARSIN,FUMONISINB1,PRIMA1,PRIMA1MET,SRT1720,VER155008,NA,NA,NA
25,25,3,DASATINIB,SARACATINIB,TANDUTINIB,NA,NA,NA,NA,NA,NA
31,31,5,ENTINOSTAT,MERCK60,TACEDINALINE,TUBASTATINA,VORINOSTAT,NA,NA,NA,NA
21,21,4,FLUVASTATIN,LOVASTATIN,PARTHENOLIDE,SIMVASTATIN,NA,NA,NA,NA,NA
23,23,3,GSK3INHIBITORIX,NINTEDANIB,SU11274,NA,NA,NA,NA,NA,NA
15,15,4,GSK461364,GW843682X,MK1775,PRL3INHIBITORI,NA,NA,NA,NA,NA
35,35,3,LY2183240,TIVANTINIB,YK4279,NA,NA,NA,NA,NA,NA
37,37,3,PYRAZOLANTHRONE,SUNITINIB,TPCA1,NA,NA,NA,NA,NA,NA
26,26,2,SB431542,SB525334,NA,NA,NA,NA,NA,NA,NA
27,27,2,SELUMETINIB,TRAMETINIB,NA,NA,NA,NA,NA,NA,NA
